week_start,report_week,side,direction,rank,stock_name,stock_code,value_sgd_m
2023-08-07,7 August 2023,institutional,buy,8,ST Engineering,S63,8.957128
2023-08-07,7 August 2023,institutional,buy,9,Singtel,Z74,5.965843200000001
2023-08-07,7 August 2023,institutional,buy,10,ComfortDelGro,C52,4.638981
2023-08-07,7 August 2023,institutional,sell,1,Venture Corporation,V03,-21.69495
2023-08-07,7 August 2023,institutional,sell,2,CapitaLand Investment,9CI,-18.447558
2023-08-07,7 August 2023,institutional,sell,3,Suntec REIT,T82U,-9.9164
2023-08-07,7 August 2023,institutional,sell,4,CapitaLand Ascott Trust,HMN,-8.608548
2023-08-07,7 August 2023,institutional,sell,5,AEM Holdings,AWX,-8.189647
2023-08-07,7 August 2023,institutional,sell,6,Thai Beverage,Y92,-6.564344
2023-08-07,7 August 2023,institutional,sell,7,City Developments,C09,-6.240557
2023-08-07,7 August 2023,institutional,sell,8,Genting Singapore,G13,-4.8061425
2023-08-07,7 August 2023,institutional,sell,9,Nanofilm Technologies,MZH,-3.624162
2023-08-07,7 August 2023,institutional,sell,10,Mapletree Pan Asia Commercial Trust,N2IU,-3.585474
2023-08-07,7 August 2023,retail,buy,1,Venture Corporation,V03,29.998507
2023-08-07,7 August 2023,retail,buy,2,CapitaLand Investment,9CI,22.544569
2023-08-07,7 August 2023,retail,buy,3,City Developments,C09,11.64723
2023-08-07,7 August 2023,retail,buy,4,AEM Holdings,AWX,10.233272
2023-08-07,7 August 2023,retail,buy,5,Thai Beverage,Y92,9.8780125
2023-08-07,7 August 2023,retail,buy,6,Suntec REIT,T82U,9.017631
2023-08-07,7 August 2023,retail,buy,7,CapitaLand Ascott Trust,HMN,7.563
2023-08-07,7 August 2023,retail,buy,8,CapitaLand Integrated Commercial Trust,C38U,5.925629
2023-08-07,7 August 2023,retail,buy,9,Seatrium,S51,4.734326799999999
2023-08-07,7 August 2023,retail,buy,10,Singtel,Z74,4.550561
2023-08-07,7 August 2023,retail,sell,1,DBS,D05,-36.569738
2023-08-07,7 August 2023,retail,sell,2,SIA,C6L,-36.565987
2023-08-07,7 August 2023,retail,sell,3,UOB,U11,-26.888931
2023-08-07,7 August 2023,retail,sell,4,Sembcorp Industries,U96,-24.963088
2023-08-07,7 August 2023,retail,sell,5,Yangzijiang Shipbuilding,BS6,-18.34856
2023-08-07,7 August 2023,retail,sell,6,Genting Singapore,G13,-6.0129925
2023-08-07,7 August 2023,retail,sell,7,Jardine Cycle & Carriage,C07,-4.662873
2023-08-07,7 August 2023,retail,sell,8,Starhub,CC3,-3.878665
2023-08-07,7 August 2023,retail,sell,9,ComfortDelGro,C52,-3.683655
2023-08-07,7 August 2023,retail,sell,10,ST Engineering,S63,-2.662681
2023-08-14,14 August 2023,institutional,buy,1,DBS,D05,143.66216
2023-08-14,14 August 2023,institutional,buy,2,UOB,U11,53.588473
2023-08-14,14 August 2023,institutional,buy,3,OCBC,O39,48.167977
2023-08-14,14 August 2023,institutional,buy,4,ST Engineering,S63,43.23862
2023-08-14,14 August 2023,institutional,buy,5,Seatrium,S51,27.5588795
2023-08-14,14 August 2023,institutional,buy,6,SGX,S68,19.193372
2023-08-14,14 August 2023,institutional,buy,7,ComfortDelGro,C52,17.125984
2023-08-14,14 August 2023,institutional,buy,8,Mapletree Logistics Trust,M44U,16.573266
2023-08-14,14 August 2023,institutional,buy,9,Yangzijiang Shipbuilding,BS6,13.326234
2023-08-14,14 August 2023,institutional,buy,10,CapitaLand Integrated Commercial Trust,C38U,11.539941
2023-08-14,14 August 2023,institutional,sell,1,Singtel,Z74,-38.8660981
2023-08-14,14 August 2023,institutional,sell,2,SIA,C6L,-34.612777
2023-08-14,14 August 2023,institutional,sell,3,Venture Corporation,V03,-24.077273
2023-08-14,14 August 2023,institutional,sell,4,Sembcorp Industries,U96,-21.612101
2023-08-14,14 August 2023,institutional,sell,5,Frasers Logistics & Commercial Trust,BUOU,-16.867379
2023-08-14,14 August 2023,institutional,sell,6,SATS,S58,-14.28492
2023-08-14,14 August 2023,institutional,sell,7,Keppel Corporation,BN4,-14.042014
2023-08-14,14 August 2023,institutional,sell,8,Jardine Matheson Holdings,J36,-11.2711544971
2023-08-14,14 August 2023,institutional,sell,9,City Developments,C09,-8.498493
2023-08-14,14 August 2023,institutional,sell,10,Suntec REIT,T82U,-6.424205
2023-08-14,14 August 2023,retail,buy,1,SIA,C6L,64.49073
2023-08-14,14 August 2023,retail,buy,2,Singtel,Z74,62.6759473
2023-08-14,14 August 2023,retail,buy,3,OCBC,O39,51.787588
2023-08-14,14 August 2023,retail,buy,4,Keppel Corporation,BN4,34.000887
2023-08-14,14 August 2023,retail,buy,5,UOB,U11,25.410301
2023-08-14,14 August 2023,retail,buy,6,Sembcorp Industries,U96,25.311743
2023-08-14,14 August 2023,retail,buy,7,SATS,S58,21.221342
2023-08-14,14 August 2023,retail,buy,8,Venture Corporation,V03,21.021664
2023-08-14,14 August 2023,retail,buy,9,City Developments,C09,20.313101
2023-08-14,14 August 2023,retail,buy,10,Wilmar International,F34,14.527553
2023-08-14,14 August 2023,retail,sell,1,ST Engineering,S63,-33.024837
2023-08-14,14 August 2023,retail,sell,2,ComfortDelGro,C52,-16.090368
